Time;X;Y;Z;Collected
0,00;-0,0120;0,0000;0,0000;False
0,02;-0,0120;0,0000;0,0000;False
0,11;-0,0120;0,0000;0,0000;False
0,45;-0,0120;0,0000;0,0000;False
0,49;-0,0120;0,0000;0,0000;False
0,52;-0,0120;0,0000;0,0000;False
0,54;-0,0120;0,0000;0,0000;False
0,55;-0,0120;0,0000;0,0000;False
0,56;-0,0120;0,0000;0,0000;False
0,57;-0,0120;0,0000;0,0000;False
0,58;-0,0120;0,0000;0,0000;False
0,59;-0,0120;0,0000;0,0000;False
0,59;-0,0120;0,0000;0,0000;False
0,60;-0,0120;0,0000;0,0000;False
0,61;-0,0120;0,0000;0,0000;False
0,61;-0,0120;0,0000;0,0000;False
0,62;-0,0120;0,0000;0,0000;False
0,63;-0,0120;0,0000;0,0000;False
0,64;-0,0120;0,0000;0,0000;False
0,64;-0,0120;0,0000;0,0000;False
0,65;-0,0120;0,0000;0,0000;False
0,65;-0,0120;0,0000;0,0000;False
0,66;-0,0120;0,0000;0,0000;False
0,67;-0,0120;0,0000;0,0000;False
0,67;-0,0120;0,0000;0,0000;False
0,68;-0,0120;0,0000;0,0000;False
0,68;-0,0120;0,0000;0,0000;False
0,69;-0,0120;0,0000;0,0000;False
0,69;-0,0120;0,0000;0,0000;False
0,70;-0,0120;0,0000;0,0000;False
0,70;-0,0120;0,0000;0,0000;False
0,70;-0,0120;0,0000;0,0000;False
0,71;-0,0120;0,0000;0,0000;False
0,71;-0,0120;0,0000;0,0000;False
0,71;-0,0120;0,0000;0,0000;False
0,72;-0,0120;0,0000;0,0000;False
0,72;-0,0120;0,0000;0,0000;False
0,73;-0,0120;0,0000;0,0000;False
0,73;-0,0120;0,0000;0,0000;False
0,74;-0,0120;0,0000;0,0000;False
0,74;-0,0120;0,0000;0,0000;False
0,74;-0,0120;0,0000;0,0000;False
0,75;-0,0120;0,0000;0,0000;False
0,75;-0,0120;0,0000;0,0000;False
0,76;-0,0120;0,0000;0,0000;False
0,76;-0,0120;0,0000;0,0000;False
0,76;-0,0120;0,0000;0,0000;False
0,77;-0,0120;0,0000;0,0000;False
0,77;-0,0120;0,0000;0,0000;False
0,78;-0,0120;0,0000;0,0000;False
0,78;-0,0120;0,0000;0,0000;False
0,79;-0,0120;0,0000;0,0000;False
0,79;-0,0120;0,0000;0,0000;False
0,79;-0,0120;0,0000;0,0000;False
0,80;-0,0120;0,0000;0,0000;False
0,80;-0,0120;0,0000;0,0000;False
0,81;-0,0120;0,0000;0,0000;False
0,81;-0,0120;0,0000;0,0000;False
0,82;-0,0120;0,0000;0,0000;False
0,82;-0,0120;0,0000;0,0000;False
0,83;-0,0120;0,0000;0,0000;False
0,84;-0,0120;0,0000;0,0000;False
0,84;-0,0120;0,0000;0,0000;False
0,85;-0,0120;0,0000;0,0000;False
0,85;-0,0120;0,0000;0,0000;False
0,86;-0,0120;0,0000;0,0000;False
0,86;-0,0120;0,0000;0,0000;False
0,87;-0,0120;0,0000;0,0000;False
0,88;-0,0120;0,0000;0,0000;False
0,88;-0,0120;0,0000;0,0000;False
0,89;-0,0120;0,0000;0,0000;False
0,90;-0,0120;0,0000;0,0000;False
0,90;-0,0120;0,0000;0,0000;False
0,91;-0,0120;0,0000;0,0000;False
0,91;-0,0120;0,0000;0,0000;False
0,92;-0,0120;0,0000;0,0000;False
0,92;-0,0120;0,0000;0,0000;False
0,93;-0,0120;0,0000;0,0000;False
0,94;-0,0120;0,0000;0,0000;False
0,94;-0,0120;0,0000;0,0000;False
0,95;-0,0120;0,0000;0,0000;False
0,95;-0,0120;0,0000;0,0000;False
0,96;-0,0120;0,0000;0,0000;False
0,97;-0,0120;0,0000;0,0000;False
0,97;-0,0120;0,0000;0,0000;False
0,98;-0,0120;0,0000;0,0000;False
0,98;-0,0120;0,0000;0,0000;False
0,98;-0,0120;0,0000;0,0000;False
0,99;-0,0120;0,0000;0,0000;False
1,00;-0,0120;0,0000;0,0000;False
1,00;-0,0120;0,0000;0,0000;False
1,01;-0,0120;0,0000;0,0000;False
1,01;-0,0120;0,0000;0,0000;False
1,02;-0,0120;0,0000;0,0000;False
1,02;-0,0120;0,0000;0,0000;False
1,03;-0,0120;0,0000;0,0000;False
1,04;-0,0120;0,0000;0,0000;False
1,04;-0,0120;0,0000;0,0000;False
1,04;-0,0120;0,0000;0,0000;False
1,05;-0,0120;0,0000;0,0000;False
1,05;-0,0120;0,0000;0,0000;False
1,06;-0,0120;0,0000;0,0000;False
1,06;-0,0120;0,0000;0,0000;False
1,07;-0,0120;0,0000;0,0000;False
1,07;-0,0120;0,0000;0,0000;False
1,08;-0,0120;0,0000;0,0000;False
1,08;-0,0120;0,0000;0,0000;False
1,08;-0,0120;0,0000;0,0000;False
1,09;-0,0120;0,0000;0,0000;False
1,09;-0,0120;0,0000;0,0000;False
1,10;-0,0120;0,0000;0,0000;False
1,10;-0,0120;0,0000;0,0000;False
1,11;-0,0120;0,0000;0,0000;False
1,11;-0,0120;0,0000;0,0000;False
1,11;-0,0120;0,0000;0,0000;False
1,11;-0,0120;0,0000;0,0000;False
1,12;-0,0120;0,0000;0,0000;False
1,12;-0,0120;0,0000;0,0000;False
1,13;-0,0120;0,0000;0,0000;False
1,13;-0,0120;0,0000;0,0000;False
1,14;-0,0120;0,0000;0,0000;False
1,14;-0,0120;0,0000;0,0000;False
1,15;-0,0120;0,0000;0,0000;False
1,15;-0,0120;0,0000;0,0000;False
1,15;-0,0120;0,0000;0,0000;False
1,16;-0,0120;0,0000;0,0000;False
1,16;-0,0120;0,0000;0,0000;False
1,17;-0,0120;0,0000;0,0000;False
1,17;-0,0120;0,0000;0,0000;False
1,18;-0,0120;0,0000;0,0000;False
1,18;-0,0120;0,0000;0,0000;False
1,18;-0,0120;0,0000;0,0000;False
1,19;-0,0120;0,0000;0,0000;False
1,19;-0,0120;0,0000;0,0000;False
1,19;-0,0120;0,0000;0,0000;False
1,20;-0,0120;0,0000;0,0000;False
1,20;-0,0120;0,0000;0,0000;False
1,21;-0,0120;0,0000;0,0000;False
1,21;-0,0120;0,0000;0,0000;False
1,22;-0,0120;0,0000;0,0000;False
1,22;-0,0120;0,0000;0,0000;False
1,23;-0,0120;0,0000;0,0000;False
1,23;-0,0120;0,0000;0,0000;False
1,24;-0,0120;0,0000;0,0000;False
1,24;-0,0120;0,0000;0,0000;False
1,25;-0,0120;0,0000;0,0000;False
1,25;-0,0120;0,0000;0,0000;False
1,26;-0,0120;0,0000;0,0000;False
1,26;-0,0120;0,0000;0,0000;False
1,27;-0,0120;0,0000;0,0000;False
1,28;-0,0120;0,0000;0,0000;False
1,28;-0,0120;0,0000;0,0000;False
1,29;-0,0120;0,0000;0,0000;False
1,29;-0,0120;0,0000;0,0000;False
1,30;-0,0120;0,0000;0,0000;False
1,30;-0,0120;0,0000;0,0000;False
1,31;-0,0120;0,0000;0,0000;False
1,31;-0,0120;0,0000;0,0000;False
1,32;-0,0120;0,0000;0,0000;False
1,32;-0,0120;0,0000;0,0000;False
1,33;-0,0120;0,0000;0,0000;False
1,33;-0,0120;0,0000;0,0000;False
1,34;-0,0120;0,0000;0,0000;False
1,34;-0,0120;0,0000;0,0000;False
1,34;-0,0120;0,0000;0,0000;False
1,35;-0,0120;0,0000;0,0000;False
1,35;-0,0120;0,0000;0,0000;False
1,36;-0,0120;0,0000;0,0000;False
1,36;-0,0120;0,0000;0,0000;False
1,37;-0,0120;0,0000;0,0000;False
1,37;-0,0120;0,0000;0,0000;False
1,37;-0,0120;0,0000;0,0000;False
